0.002	0		4.383	G		20.547	W		52.628	m
0.025	1		5.003	H		22.042	X		55.252	n
0.073	2		5.670	I		23.607	Y		57.947	o
0.149	3		6.385	J		25.231	Z		60.733	p
0.255	4		7.149	K		26.920	a		63.591	q
0.393	5		7.964	L		28.677	b		66.523	r
0.564	6		8.830	M		30.501	c		69.549	s
0.770	7		9.748	N		32.395	d		72.649	t
1.012	8		10.720	O		34.351	e		75.836	u
1.290	9		11.746	P		36.386	f		79.111	v
1.608	A		12.828	Q		38.486	g		82.473	w
1.964	B		13.967	R		40.658	h		85.914	x
2.363	C		15.163	S		42.905	i		89.446	y
2.801	D		16.419	T		45.227	j		93.057	z
3.286	E		17.734	U		47.617	k		96.772	-
3.812	F		19.109	V		50.083	l		100.568	+
